County,Size
"Chattooga County, Georgia",313.34
"Cherokee County, Georgia",421.67
"Clarke County, Georgia",119.2
"Clay County, Georgia",195.38
"Clayton County, Georgia",141.57
"Clinch County, Georgia",800.22
"Cobb County, Georgia",339.55
"Coffee County, Georgia",575.1
"Colquitt County, Georgia",544.15
"Columbia County, Georgia",290.09
"Cook County, Georgia",227.16
"Coweta County, Georgia",440.89
"Crawford County, Georgia",324.89
"Crisp County, Georgia",272.58
"Dade County, Georgia",173.98
"Dawson County, Georgia",210.83
"Decatur County, Georgia",597.14
"DeKalb County, Georgia",267.58
"Dodge County, Georgia",495.89
"Dooly County, Georgia",391.94
"Dougherty County, Georgia",328.69
"Douglas County, Georgia",200.07
"Early County, Georgia",512.59
"Echols County, Georgia",414.89
"Effingham County, Georgia",477.7
"Elbert County, Georgia",351.06
"Emanuel County, Georgia",680.6
"Evans County, Georgia",182.85
"Fannin County, Georgia",386.72
"Fayette County, Georgia",194.34
"Floyd County, Georgia",509.91
"Forsyth County, Georgia",224.02
"Franklin County, Georgia",261.5
"Fulton County, Georgia",526.64
"Gilmer County, Georgia",426.54
"Glascock County, Georgia",143.74
"Glynn County, Georgia",419.75
"Gordon County, Georgia",355.81
"Grady County, Georgia",454.53
"Greene County, Georgia",387.44
"Gwinnett County, Georgia",430.38
"Habersham County, Georgia",276.74
"Hall County, Georgia",392.78
"Hancock County, Georgia",471.84
"Haralson County, Georgia",282.17
"Harris County, Georgia",463.87
"Hart County, Georgia",232.39
"Heard County, Georgia",296.03
"Henry County, Georgia",322.13
"Houston County, Georgia",375.54
"Irwin County, Georgia",354.34
"Jackson County, Georgia",339.66
"Jasper County, Georgia",368.17
"Jeff Davis County, Georgia",330.74
"Jefferson County, Georgia",526.49
"Jenkins County, Georgia",347.28
"Johnson County, Georgia",303.01
"Jones County, Georgia",393.93
"Lamar County, Georgia",183.5
"Lanier County, Georgia",185.26
"Laurens County, Georgia",807.3
"Lee County, Georgia",355.78
"Liberty County, Georgia",489.8
"Lincoln County, Georgia",210.38
"Long County, Georgia",400.29
"Lowndes County, Georgia",496.07
"Lumpkin County, Georgia",282.93
"Macon County, Georgia",400.64
"Madison County, Georgia",282.31
"Marion County, Georgia",366.0
"McDuffie County, Georgia",257.46
"McIntosh County, Georgia",424.3
"Meriwether County, Georgia",501.22
"Miller County, Georgia",282.42
"Mitchell County, Georgia",512.09
"Monroe County, Georgia",395.66
"Montgomery County, Georgia",239.52
"Morgan County, Georgia",347.35
"Murray County, Georgia",344.47
"Muscogee County, Georgia",216.39
"Newton County, Georgia",272.16
"Oconee County, Georgia",184.29
"Oglethorpe County, Georgia",439.01
"Paulding County, Georgia",312.22
"Peach County, Georgia",150.27
"Pickens County, Georgia",232.06
"Pierce County, Georgia",316.49
"Pike County, Georgia",216.09
"Polk County, Georgia",310.33
"Pulaski County, Georgia",249.03
"Putnam County, Georgia",344.64
"Quitman County, Georgia",151.24
"Rabun County, Georgia",369.99
"Randolph County, Georgia",428.24
"Richmond County, Georgia",324.33
"Rockdale County, Georgia",129.79
"Schley County, Georgia",166.91
"Screven County, Georgia",645.1
"Seminole County, Georgia",235.23
"Spalding County, Georgia",196.47
"Stephens County, Georgia",179.13
"Stewart County, Georgia",458.73
"Sumter County, Georgia",482.7
"Talbot County, Georgia",391.39
"Taliaferro County, Georgia",194.61
"Tattnall County, Georgia",479.4
"Taylor County, Georgia",376.69
"Telfair County, Georgia",437.3
"Terrell County, Georgia",335.44
"Thomas County, Georgia",544.6
"Tift County, Georgia",258.92
"Toombs County, Georgia",364.01
"Towns County, Georgia",166.56
"Treutlen County, Georgia",199.44
"Troup County, Georgia",413.99
"Turner County, Georgia",285.39
"Twiggs County, Georgia",358.4
"Union County, Georgia",321.93
"Upson County, Georgia",323.44
"Walker County, Georgia",446.38
"Walton County, Georgia",325.68
"Ware County, Georgia",892.46
"Warren County, Georgia",284.3
"Washington County, Georgia",678.45
"Wayne County, Georgia",641.78
"Webster County, Georgia",209.12
"Wheeler County, Georgia",295.48
"White County, Georgia",240.69
"Whitfield County, Georgia",290.46
